time,speaker,phase,content
19:12:09,G3P1,ideaGenerationOne,I think…
19:12:11,G3P1,ideaGenerationOne,"Yeah, yeah, you're fine. Um…"
19:12:13,G3P1,ideaGenerationOne,I think… also…
19:12:18,G3P1,ideaGenerationOne,"Oh, I know I lost my train of thought."
19:12:21,G3P2,ideaGenerationOne,Hmm.
19:12:31,G3P1,ideaGenerationOne,I can't remember which one I was thinking of.
19:12:33,G3P2,ideaGenerationOne,"No, I didn't."
19:12:33,G3P1,ideaGenerationOne,"Um, I think better athletic facilities as well."
19:12:38,G3P1,ideaGenerationOne,select Campus Rec and stuff like that.
19:12:38,G3P2,ideaGenerationOne,Okay.
19:12:41,G3P2,ideaGenerationOne,Okay.
19:12:48,G3P1,ideaGenerationOne,Maybe updating?
19:12:51,G3P1,ideaGenerationOne,"current facility, like classrooms?"
19:12:54,G3P2,ideaGenerationOne,"Hmm, okay, yeah."
19:12:59,G3P2,ideaGenerationOne,Let's see…
19:13:07,G3P1,ideaGenerationOne,more graduation opportunities.
19:13:12,G3P1,ideaGenerationOne,"like, walking opportunities for graduation."
19:13:15,G3P2,ideaGenerationOne,"Okay, okay."
19:13:16,G3P1,ideaGenerationOne,not very many.
19:13:24,G3P2,ideaGenerationOne,"about outside the classroom, uh…"
19:13:27,G3P2,ideaGenerationOne,tutoring and stuff.
19:13:28,G3P1,ideaGenerationOne,Yeah.
19:13:39,G3P1,ideaGenerationOne,"Um, maybe more specific to post-grad, but…"
19:13:43,G3P1,ideaGenerationOne,more… professors?
19:13:47,G3P1,ideaGenerationOne,for more class options.
19:13:49,G3P1,ideaGenerationOne,This is kind of two-in-one.
19:13:54,G3P1,ideaGenerationOne,Um…
19:14:04,G3P1,ideaGenerationOne,"I guess kind of just, like, compass expansions in general. Just trying to…"
19:14:09,G3P1,ideaGenerationOne,"expand more classrooms, more parking, more everything."
19:14:14,G3P2,ideaGenerationOne,"Mm-hmm, mm-hmm."
19:14:14,G3P1,ideaGenerationOne,On that.
19:14:21,G3P1,ideaGenerationOne,A little bit more to do with hanging out with friends and stuff on campus.
19:14:27,G3P2,ideaGenerationOne,"Okay, yeah, yeah, I can definitely see that."
19:14:54,G3P2,ideaGenerationOne,better allocate… what is it?
19:14:57,G3P2,ideaGenerationOne,advisors?
19:14:58,G3P1,ideaGenerationOne,Yeah. Yeah.
19:15:04,G3P1,ideaGenerationOne,"Um, this one's…"
19:15:06,G3P1,ideaGenerationOne,"more random, but…"
19:15:09,G3P1,ideaGenerationOne,"Sustainability-wise, things maybe like…"
19:15:12,G3P1,ideaGenerationOne,"like, more sustainable, like, power methods, like, maybe, like, solar panels, or…"
19:15:20,G3P2,ideaGenerationOne,Okay.
19:15:21,G3P1,ideaGenerationOne,"Um, things like that."
19:15:24,G3P1,ideaGenerationOne,Um…
19:15:29,G3P2,ideaGenerationOne,"I guess they could also, uh… you did… you said it with the classroom, but they could also renovate the dorms."
19:15:34,G3P2,ideaGenerationOne,Maybe.
19:15:35,G3P1,ideaGenerationOne,"Yeah, yeah."
19:15:40,G3P1,ideaGenerationOne,"Maybe some more, like, quiet spaces?"
19:15:44,G3P1,ideaGenerationOne,"For, like, studying or relaxing between classes."
19:15:47,G3P2,ideaGenerationOne,"Mm-hmm, mm-hmm. Yeah, yeah."
19:16:01,G3P1,ideaGenerationOne,"Again, this is more of, like, an entertainment side of things, but more events."
19:16:07,G3P1,ideaGenerationOne,"Compass event. I feel like we have a lot, but…"
19:16:11,G3P1,ideaGenerationOne,"I think there could be, like,"
19:16:14,G3P1,ideaGenerationOne,some more that go beyond just food late at night.
19:16:18,G3P2,ideaGenerationOne,"Hmm. Okay, yeah."
19:16:30,G3P1,ideaGenerationOne,"I know you said better food, but also, like, healthier food, I think, would be better."
19:16:37,G3P1,ideaGenerationOne,2…
19:16:39,G3P2,ideaGenerationOne,"Yeah, yeah."
19:16:47,G3P2,ideaGenerationOne,Um…
19:16:54,G3P2,ideaGenerationOne,Let's see…
19:16:56,G3P1,ideaGenerationOne,"Maybe, like, this one's random, but…"
19:16:59,G3P1,ideaGenerationOne,"Maybe having, like,"
19:17:01,G3P1,ideaGenerationOne,scooters on campus?
19:17:04,G3P1,ideaGenerationOne,the students can…
19:17:08,G3P1,ideaGenerationOne,"use, and they wouldn't necessarily be able to leave the campus area without it, like, shutting down, but to get to and from, like, classes, they're pretty far away."
19:17:17,G3P2,ideaGenerationOne,Mm-hmm.
19:17:25,G3P2,ideaGenerationOne,Um… let's see…
19:17:52,G3P1,ideaGenerationOne,"I'm not sure if this one exists, but…"
19:17:56,G3P1,ideaGenerationOne,"in terms of graduate classes, sometimes being on the other campus, maybe a shuttle bus service?"
19:18:03,G3P2,ideaGenerationOne,"Okay. I can see that, yeah."
19:18:03,G3P1,ideaGenerationOne,Between? I don't know.
19:18:26,G3P2,ideaGenerationOne,Let's see…
19:18:31,G3P1,ideaGenerationOne,the more…
19:18:34,G3P1,ideaGenerationOne,"student working opportunities on campus? Like, jobs?"
19:18:38,G3P2,ideaGenerationOne,Okay. Uh…
19:18:39,G3P1,ideaGenerationOne,New York
19:18:40,G3P2,ideaGenerationOne,"Going along with, like, your events thing, they could notify people whenever the band is having concerts?"
19:18:47,G3P1,ideaGenerationOne,Yeah.
19:19:02,G3P1,ideaGenerationOne,Maybe?
19:19:04,G3P1,ideaGenerationOne,some sort of system that reduces…
19:19:08,G3P1,ideaGenerationOne,"book rental, right?"
19:19:11,G3P1,ideaGenerationOne,"the prices of, like, books for classes?"
19:19:13,G3P2,ideaGenerationOne,"Okay, yeah."
19:19:17,G3P2,ideaGenerationOne,Yeah.
19:19:21,G3P2,ideaGenerationOne,"Okay, yeah."
19:19:45,G3P1,ideaGenerationOne,"Um, maybe, like, class registration?"
19:19:49,G3P1,ideaGenerationOne,process could be better?
19:19:54,G3P2,ideaGenerationOne,"Oh, yeah."
19:20:00,G3P1,ideaGenerationOne,"And I've already mentioned about the athletic facilities as well, but I think for…"
19:20:04,G3P2,ideaGenerationOne,Mm-hmm.
19:20:05,G3P1,ideaGenerationOne,non-student athletes.
19:20:08,G3P1,ideaGenerationOne,"recovery, like…"
19:20:10,G3P1,ideaGenerationOne,"kind of sports recovery place, like, a place would be nice."
19:20:14,G3P2,ideaGenerationOne,Mm-hmm.
19:20:15,G3P1,ideaGenerationOne,"like, hot tubs, saunas, ice baths, things like that for those that…"
19:20:20,G3P1,ideaGenerationOne,"You know, like to work out and stuff."
19:20:22,G3P2,ideaGenerationOne,Okay.
19:20:28,G3P2,ideaGenerationOne,"Also, just stress relaxation areas."
19:20:29,G3P1,ideaGenerationOne,"Right, yeah."
19:21:05,G3P1,ideaGenerationOne,"Maybe, like, a…"
19:21:08,G3P1,ideaGenerationOne,mandatory mental health meeting once a semester.
19:21:12,G3P2,ideaGenerationOne,"Okay, okay, yeah, I could definitely get behind that."
19:21:26,G3P2,ideaGenerationOne,"And, uh, maybe having an area with, like, fidget toys or something that would help with reducing stress."
19:21:30,G3P1,ideaGenerationOne,Mm-hmm. Yeah.
19:21:35,Experimenter,break,"Okay, your time is up."
19:21:38,Experimenter,break,"Um, now that we've completed"
19:21:39,Experimenter,break,"this portion of the study, we'll go ahead and move into the next section."
19:21:42,Experimenter,break,"During this section, you will work together"
19:21:44,Experimenter,break,"as a group… oh, I'm sorry, I'm reading from the wrong part here, give me one second. Okay."
19:21:49,Experimenter,break,"Um, in this section, you will once again brainstorm ideas for the same problem following Osborne's rules. However, this time, you will receive example ideas that will help you generate more ideas on the same problem."
19:22:02,Experimenter,break,"Uh, as you probably noticed,"
19:22:03,Experimenter,break,"Uh, while you were brainstorming."
19:22:05,Experimenter,break,"Ideas came quickly at first, and then they began to slow down over time."
19:22:09,Experimenter,break,This is a very common pattern in brainstorming.
19:22:12,Experimenter,break,"And so, to help you generate more ideas, in this section, uh, we will generate examples using an AI tool."
19:22:18,Experimenter,break,"Uh, I'm going to select Participant 2."
19:22:21,Experimenter,break,"To assist with this. So, Participant 2…"
19:22:24,Experimenter,break,"Um, please share your screen with the group, and we're going to make sure that you can do that."
19:22:30,G3P2,break,Okay.
19:22:39,Experimenter,break,"Okay, perfect."
19:22:40,G3P2,break,Please let me share the screen.
19:22:42,Experimenter,break,"Yes, yeah, of course."
19:22:44,G3P2,break,Okay.
19:22:48,G3P2,break,I believe it should be…
19:22:49,G3P2,break,Sharing? No?
19:22:51,Experimenter,break,"I'm not seeing it just yet, it might take a second."
19:22:53,G3P2,break,"Okay. Well, the share option just disappeared from me, so…"
19:23:00,Experimenter,break,Let me see if I can see me…
19:23:07,G3P2,break,"Maybe it's just being weird. Oh, no, I think it's just being weird. Okay, no, we're good."
19:23:13,Experimenter,break,Perfect.
19:23:13,G3P2,break,Okay. There it is.
19:23:16,Experimenter,break,"And now we can see. Perfect. Alright. So, if you could go ahead, and on your keyboard,"
19:23:21,Experimenter,break,"Press the buttons, Ctrl, Shift, and N at the same time."
19:23:31,Experimenter,break,Interesting. Alright.
19:23:31,G3P2,break,Okay.
19:23:33,G3P2,break,Do I need to… is it still on that main one? Do I need to switch?
19:23:36,Experimenter,break,"Yeah, and so if you could switch to incognito mode, if you know how to do that."
19:23:36,G3P2,break,Maybe.
19:23:41,G3P2,break,"No, no, I have the incognito tab. I think it's just… it was just stuck in the other one. Okay, it should be… it should have moved to the incognito tab."
19:23:43,Experimenter,break,"Oh, perfect."
19:23:48,Experimenter,break,"Okay, perfect. There we go. Yeah, that's what we're looking for."
19:23:50,G3P2,break,"Is it on it now? Yeah, okay."
19:23:51,Experimenter,break,"Yeah, alright. So, I just pasted a link."
19:23:54,Experimenter,break,"um, into the Zoom chat, if you could copy and paste that into the address bar."
19:23:59,G3P2,break,Okay.
19:24:02,G3P2,break,Let's see how easily I can do this.
19:24:15,G3P2,break,Okay.
19:24:17,Experimenter,break,"And hit enter. Alright, perfect. And so…"
19:24:22,Experimenter,break,Now…
19:24:24,Experimenter,break,I have shared a specific prompt to the chat.
19:24:27,Experimenter,break,"Please copy that text and paste it into the message box on the website and hit send. More specifically, the Ask Anything box."
19:24:40,G3P2,break,"the whole thing, right?"
19:24:41,Experimenter,break,"Yeah, the whole thing."
19:24:43,G3P2,break,Okay.
19:24:55,Experimenter,break,"Perfect, alright. So, if you could go ahead and press the copy button underneath the response."
19:25:00,Experimenter,break,"Uh, it should be two squares."
19:25:03,G3P2,break,Yep.
19:25:03,Experimenter,break,kind of overlapping one another. Perfect. And then…
19:25:05,G3P2,break,And put it into the chat.
19:25:06,Experimenter,break,"Yes, please."
19:25:08,G3P2,break,Will do.
19:25:11,G3P2,break,There they are.
19:25:12,Experimenter,break,"Alright, perfect. Um…"
19:25:17,Experimenter,break,"And everyone can see the examples now, yes? And then, uh, participants who, you can go ahead and stop sharing your screen."
19:25:24,G3P2,break,Will do.
19:25:24,Experimenter,break,Thank you. All right.
19:25:27,Experimenter,break,"So, once again, the problem you'll be working on today is called the university problem."
19:25:32,Experimenter,break,"Basically, we would like you to generate ideas or ways to improve your university. Any suggestions you have about how to make the university better are appropriate."
19:25:40,Experimenter,break,"You have 10 minutes to verbally brainstorm on this, even if you are done before 10 minutes, keep trying to generate ideas."
19:25:46,Experimenter,break,I will return when the 10 minutes are up.
19:25:48,Experimenter,ideaGenerationTwo,Your time starts now.
19:25:55,G3P2,ideaGenerationTwo,Let's see…
19:26:07,G3P1,ideaGenerationTwo,So I think?
19:26:09,G3P1,ideaGenerationTwo,"the last two, we kinda…"
19:26:13,G3P1,ideaGenerationTwo,"Well, the fourth one we kind of mentioned."
19:26:15,G3P2,ideaGenerationTwo,We definitely mentioned the fourth one.
19:26:18,G3P2,ideaGenerationTwo,Let's go and test… huh?
19:26:21,G3P2,ideaGenerationTwo,"Let's see… that first one kind of made me think about, um…"
19:26:26,G3P2,ideaGenerationTwo,"It kind of went off away from that one, but it was about, um…"
19:26:32,G3P2,ideaGenerationTwo,Having professors get
19:26:34,G3P2,ideaGenerationTwo,actual education training.
19:26:37,G3P1,ideaGenerationTwo,Mm-hmm.
19:26:42,G3P2,ideaGenerationTwo,"So probably, like, uh…"
19:26:44,G3P2,ideaGenerationTwo,combining one…
19:26:48,G3P2,ideaGenerationTwo,"combining degrees with education, so that they actually have that… get that training."
19:26:57,G3P1,ideaGenerationTwo,Yeah.
19:27:01,G3P1,ideaGenerationTwo,Um…
19:27:12,G3P1,ideaGenerationTwo,"Yeah, and I think also for number one,"
19:27:16,G3P1,ideaGenerationTwo,um… just allowing…
19:27:20,G3P1,ideaGenerationTwo,much more…
19:27:21,G3P1,ideaGenerationTwo,"I know the word flexibility is always… is already there, so I don't want to use that word, but more, um…"
19:27:30,G3P1,ideaGenerationTwo,options for each of those kind of core…
19:27:34,G3P1,ideaGenerationTwo,Um… subjects.
19:27:37,G3P1,ideaGenerationTwo,"So, more branches of psychology to specialize in as a degree as a whole."
19:27:42,G3P1,ideaGenerationTwo,Rather than just psychology.
19:27:45,G3P2,ideaGenerationTwo,"Okay, okay, yeah."
19:27:46,G3P1,ideaGenerationTwo,"So, you know, having…"
19:27:49,G3P1,ideaGenerationTwo,"School of Psychology, but…"
19:27:51,G3P1,ideaGenerationTwo,"you can choose many different types of degree in psychology, for example."
19:28:02,G3P1,ideaGenerationTwo,Um…
19:28:21,G3P1,ideaGenerationTwo,"Um, number two…"
19:28:25,G3P1,ideaGenerationTwo,kind of gave me a slightly different idea of…
19:28:29,G3P1,ideaGenerationTwo,like a 24…
19:28:33,G3P1,ideaGenerationTwo,7…
19:28:35,G3P1,ideaGenerationTwo,"I kind of guesses it's number 2 and 3 kind of together. A 24-7, like, AI-generated"
19:28:38,G3P2,ideaGenerationTwo,Mm-hmm.
19:28:41,G3P1,ideaGenerationTwo,help system?
19:28:43,G3P1,ideaGenerationTwo,kind of just for everything.
19:28:43,G3P2,ideaGenerationTwo,"Okay. Mm-hmm, okay, yeah."
19:28:49,G3P2,ideaGenerationTwo,"Makes sense. Like, one you can just jump into at any time."
19:28:53,G3P2,ideaGenerationTwo,"Like, for… if it's for a classroom, you can just jump in anytime, ask questions, jump out."
19:28:53,G3P1,ideaGenerationTwo,Right.
19:28:58,G3P1,ideaGenerationTwo,Yep. Even for something as simple as a…
19:29:02,G3P1,ideaGenerationTwo,"an IT issue, you know, like…"
19:29:08,G3P1,ideaGenerationTwo,Um…
19:29:11,G3P1,ideaGenerationTwo,And then also for number 3.
19:29:15,G3P1,ideaGenerationTwo,"um, kind of, I guess, just what's written."
19:29:18,G3P1,ideaGenerationTwo,the AI academic advertise.
19:29:20,G3P2,ideaGenerationTwo,"Yeah, we did…"
19:29:21,G3P2,ideaGenerationTwo,"We did talk about how, sorry, academic advising does have its issues, so yeah, that would…"
19:29:25,G3P1,ideaGenerationTwo,They're fine.
19:29:27,G3P1,ideaGenerationTwo,Mm-hmm.
19:29:29,G3P2,ideaGenerationTwo,"That would probably fix it, or at least help it, for sure."
19:29:31,G3P1,ideaGenerationTwo,Yeah.
19:29:35,G3P1,ideaGenerationTwo,"You're also not really limited, then, to an appointment time."
19:29:41,G3P1,ideaGenerationTwo,As such?
19:29:49,G3P1,ideaGenerationTwo,"Um, 4 might be one of the ones we touched on the most."
19:29:53,G3P2,ideaGenerationTwo,Mm-hmm.
19:29:54,G3P1,ideaGenerationTwo,Um…
19:29:55,G3P1,ideaGenerationTwo,different programs…
19:29:59,G3P1,ideaGenerationTwo,near different programs being available on campus.
19:30:02,G3P2,ideaGenerationTwo,"Mm-hmm, yeah."
19:30:03,G3P1,ideaGenerationTwo,Um…
19:30:04,G3P1,ideaGenerationTwo,I think the idea of different types of…
19:30:08,G3P1,ideaGenerationTwo,"sports and activities is fun, too."
19:30:18,G3P2,ideaGenerationTwo,Let's see…
19:30:49,G3P1,ideaGenerationTwo,"Number five, and I'm not sure if I'm on the right path with what it's trying to tell me, but…"
19:30:57,G3P1,ideaGenerationTwo,Um…
19:30:58,G3P1,ideaGenerationTwo,"I guess, if you are a student working in a lab that's…"
19:31:01,G3P1,ideaGenerationTwo,"partnered with Google, like,"
19:31:05,G3P1,ideaGenerationTwo,that opens up…
19:31:08,G3P1,ideaGenerationTwo,more options for you in the future.
19:31:11,G3P1,ideaGenerationTwo,"Um, you know, that… those are both…"
19:31:14,G3P1,ideaGenerationTwo,"huge companies, so…"
19:31:17,G3P1,ideaGenerationTwo,having something like that.
19:31:20,G3P1,ideaGenerationTwo,"working, kind of, with them is…"
19:31:23,G3P1,ideaGenerationTwo,looks good.
19:31:25,G3P2,ideaGenerationTwo,"Yeah, so maybe not Google and Tesla, but they could partner with other smaller companies that are maybe within the more affordable price range for this university."
19:31:31,G3P1,ideaGenerationTwo,Mm-hmm.
19:31:35,G3P1,ideaGenerationTwo,Yeah.
19:31:37,G3P1,ideaGenerationTwo,"And actually, that is a good point, um…"
19:31:41,G3P1,ideaGenerationTwo,"I mean, small local businesses, I think, should become more involved in…"
19:31:49,G3P1,ideaGenerationTwo,with the university.
19:31:52,G3P1,ideaGenerationTwo,Um…
19:31:54,G3P1,ideaGenerationTwo,promotions.
19:31:57,G3P1,ideaGenerationTwo,"Um, discounts…"
19:32:00,G3P1,ideaGenerationTwo,donations?
19:32:01,G3P1,ideaGenerationTwo,"Um, just presence on campus."
19:32:06,G3P1,ideaGenerationTwo,I think it could be beneficial for both the business and…
19:32:09,G3P1,ideaGenerationTwo,Tarleton.
19:32:11,G3P2,ideaGenerationTwo,Yes.
19:32:13,G3P2,ideaGenerationTwo,"It also made me think, like, maybe, uh…"
19:32:15,G3P2,ideaGenerationTwo,"just lives in general, they could probably get more lot space."
19:32:19,G3P1,ideaGenerationTwo,Mm-hmm.
19:32:19,G3P2,ideaGenerationTwo,"for, um, others specific…"
19:32:25,G3P2,ideaGenerationTwo,I'm gonna think about it. Fields. There we go.
19:32:28,G3P1,ideaGenerationTwo,Mm-hmm.
19:33:08,G3P1,ideaGenerationTwo,"I guess, as well, for number one, since it's…"
19:33:11,G3P1,ideaGenerationTwo,talking about combining.
19:33:13,G3P1,ideaGenerationTwo,Those 3 degrees. Um…
19:33:14,G3P2,ideaGenerationTwo,Mm-hmm.
19:33:17,G3P1,ideaGenerationTwo,"essentially, maybe that could be an option."
19:33:20,G3P1,ideaGenerationTwo,to discuss with an advisor of…
19:33:23,G3P1,ideaGenerationTwo,combining…
19:33:25,G3P1,ideaGenerationTwo,"two or three of any degree, essentially."
19:33:30,G3P1,ideaGenerationTwo,"So, not so much as having a major and a minor anymore, but…"
19:33:35,G3P1,ideaGenerationTwo,two or three major.
19:33:40,G3P2,ideaGenerationTwo,Or maybe just creating a whole new major altogether.
19:33:43,G3P1,ideaGenerationTwo,Yeah.
19:34:55,G3P2,ideaGenerationTwo,"Besides also making more labs for the fields, they could try, uh… well, not try, they could…"
19:35:01,G3P2,ideaGenerationTwo,"Also, just allocate more funds to other labs."
19:35:06,G3P2,ideaGenerationTwo,"like, away from sports."
19:35:06,G3P1,ideaGenerationTwo,Yeah.
19:35:08,G3P1,ideaGenerationTwo,Mm-hmm.
19:35:11,G3P1,ideaGenerationTwo,Yeah.
19:35:25,G3P1,ideaGenerationTwo,"Yeah, I agree with that. I think, like…"
19:35:29,G3P1,ideaGenerationTwo,"you know, not spending all of the money on sports and…"
19:35:33,G3P1,ideaGenerationTwo,using it in…
19:35:35,G3P1,ideaGenerationTwo,other places.
19:35:37,G3P1,ideaGenerationTwo,It would be very beneficial for…
19:35:41,G3P1,ideaGenerationTwo,Everyone's.
19:35:56,Experimenter,break,"Okay, and your time is up. Please stop generating ideas."
19:35:59,Experimenter,break,"So, now that we've completed the brainstorming portion of the study,"
19:36:02,Experimenter,break,"Uh, we will move into the next section."
19:36:05,Experimenter,break,"During this section, you will work together as a group to reach a consensus and select the top 5 best ideas from the total pool of ideas you've generated across the previous sessions."
19:36:15,Experimenter,break,To improve your university.
19:36:17,Experimenter,break,"But best ideas, I mean ideas that are both feasible and original."
19:36:22,Experimenter,break,"Once you've agreed on your top 5 idi- on your top 5 ideas, please rank them in order from 1"
19:36:27,Experimenter,break,"to 5, where 1 is your first best idea, and 5 is your 5th best idea."
19:36:35,Experimenter,break,Give me one second…
19:36:41,Experimenter,break,"Uh, and you can both now see the document I have up that says Definitions of Originality and Feasibility."
19:36:48,Experimenter,break,"Perfect. Alright, so to help you make your selection,"
19:36:52,Experimenter,break,Please evaluate the ideas based on the following definitions.
19:36:56,Experimenter,break,"Feasibility. Uh, feasibility is defined as the extent to which an idea was relatively easy or feasible to adopt."
19:37:03,Experimenter,break,It may or may not be a good idea.
19:37:05,Experimenter,break,The point is to capture the degree to which the idea
19:37:08,Experimenter,break,To which the 8… sorry.
19:37:10,Experimenter,break,To which the idea is one that could be done
19:37:13,Experimenter,break,without a lot of effort or cost.
19:37:15,Experimenter,break,originality. Originality refers to the degree to which an idea is unique.
19:37:20,Experimenter,break,or unlikely to be mentioned by others.
19:37:24,Experimenter,break,It may or may not be a good idea. The point is to capture the degree to which the idea is one that few individuals would likely
19:37:31,Experimenter,break,would be likely to generate.
19:37:33,Experimenter,break,"Uh, once you're ready with your top 5 ideas, please type your final"
19:37:38,Experimenter,break,ranked list of 5 ideas into the Zoom chat.
19:37:40,Experimenter,break,"Once you've decided. You will have 10 minutes to complete this task,"
19:37:44,Experimenter,break,Take the time to review the ideas based on the criteria you were given.
19:37:49,Experimenter,break,"Find your top ideas on group consensus, so decide on them together."
19:37:53,Experimenter,break,And to help you out with this…
19:37:58,Experimenter,break,I am going to give you…
19:38:02,Experimenter,break,The…
19:38:05,Experimenter,break,Transcript.
19:38:08,Experimenter,break,Over the past two sessions.
19:38:35,Experimenter,break,"Alright, uh…"
19:38:41,Experimenter,break,"All right, so once again, you'll have 10 minutes to do this."
19:38:44,Experimenter,break,"Um, after 8 minutes, I will come and, uh…"
19:38:47,Experimenter,break,"Remind you that you have 2 minutes left, um…"
19:38:49,Experimenter,break,Just to make sure that you can put all 5 of your ideas into the Zoom chat.
19:38:55,Experimenter,break,So…
19:38:57,Experimenter,ideaSelection,"Uh, your time starts now."
19:39:02,G3P1,ideaSelection,"Um, okay."
19:39:07,G3P1,ideaSelection,I think most of our ideas.
19:39:11,G3P1,ideaSelection,actually were pretty feasible.
19:39:12,G3P2,ideaSelection,Mm-hmm.
19:39:13,G3P1,ideaSelection,"Um, I don't think we came up with anything too crazy."
19:39:18,G3P1,ideaSelection,Uh…
19:39:19,G3P2,ideaSelection,Probably the following would be originality.
19:39:22,G3P1,ideaSelection,Yeah. Yeah.
